Отчет о продажах за период;;;;;;;
с 01.09.16 по 30.09.16;;;;;;;
По всем поставщикам, по фирме: Алекс. Суммы включают НДС.;;;;;;;
;;;;;;;
Код;Наименование;Цена;Кол-во;Сумма;Себестоимость;Эффективность;
;;;;;;Сумма;Процент
;ZОтчет 19/889;600,00 руб.;1,00 шт.;600,00 руб.;370,00 руб.;230,00 руб.;62,16%
;ZОтчет 5/1531/15782;600,00 руб.;1,00 шт.;600,00 руб.;380,00 руб.;220,00 руб.;57,89%
87344;"Калькулятор""Casio GR-14-W-EH""";632,69 руб.;5,00 шт.;3 163,44 руб.;2 108,78 руб.;1 054,66 руб.;50,01%
;ZОтчет 18/1234;665,00 руб.;1,00 шт.;665,00 руб.;390,00 руб.;275,00 руб.;70,51%
;ZОтчет 51#00000000000003130;622,44 руб.;1,00 шт.;622,44 руб.;398,78 руб.;223,66 руб.;56,09%
;ZОтчет 51#00000000000003143;546,00 руб.;1,00 шт.;546,00 руб.;440,00 руб.;106,00 руб.;24,09%
;ZОтчет 4/1543;665,00 руб.;2,00 шт.;1 330,00 руб.;880,00 руб.;450,00 руб.;51,14%
87345;"Калькулятор""Casio GR-16-W-EH""";695,76 руб.;1,00 шт.;695,76 руб.;445,80 руб.;249,96 руб.;56,07%
;ZОтчет 51#00000000000003132;695,76 руб.;1,00 шт.;695,76 руб.;445,80 руб.;249,96 руб.;56,07%
117583;"Калькулятор""Casio HL-4A-S-EH""";160,00 руб.;4,00 шт.;640,00 руб.;380,00 руб.;260,00 руб.;68,42%
;ZОтчет 19/867;160,00 руб.;1,00 шт.;160,00 руб.;95,00 руб.;65,00 руб.;68,42%
;ZОтчет 11/1563;160,00 руб.;1,00 шт.;160,00 руб.;95,00 руб.;65,00 руб.;68,42%
;ZОтчет 15/1525;160,00 руб.;1,00 шт.;160,00 руб.;95,00 руб.;65,00 руб.;68,42%
;ZОтчет 12/1525;160,00 руб.;1,00 шт.;160,00 руб.;95,00 руб.;65,00 руб.;68,42%
119298;"Калькулятор""Casio HL-820VA-S-EH""";220,00 руб.;2,00 шт.;440,00 руб.;273,70 руб.;166,30 руб.;60,76%
;ZОтчет 2/1562;220,00 руб.;1,00 шт.;220,00 руб.;136,85 руб.;83,15 руб.;60,76%
;ZОтчет 19/893;220,00 руб.;1,00 шт.;220,00 руб.;136,85 руб.;83,15 руб.;60,76%
84621;"Калькулятор""Casio LC-160LV-BK-S-EH"" 8разр.";185,00 руб.;4,00 шт.;740,00 руб.;411,60 руб.;328,40 руб.;79,79%
;ZОтчет 18/1230;185,00 руб.;1,00 шт.;185,00 руб.;102,90 руб.;82,10 руб.;79,79%
;ZОтчет 12/1507;185,00 руб.;1,00 шт.;185,00 руб.;102,90 руб.;82,10 руб.;79,79%
;ZОтчет 9/2958;185,00 руб.;1,00 шт.;185,00 руб.;102,90 руб.;82,10 руб.;79,79%
;ZОтчет 19/887;185,00 руб.;1,00 шт.;185,00 руб.;102,90 руб.;82,10 руб.;79,79%
3938;"Калькулятор""Citizen CPC-110RDWB"" 10разр. дв.пит.";250,00 руб.;2,00 шт.;500,00 руб.;359,40 руб.;140,60 руб.;39,12%
;ZОтчет 2/1552;250,00 руб.;1,00 шт.;250,00 руб.;179,70 руб.;70,30 руб.;39,12%
;ZОтчет 19/888;250,00 руб.;1,00 шт.;250,00 руб.;179,70 руб.;70,30 руб.;39,12%
108261;"Калькулятор""Citizen CPC-112GLWB"" 12разр. дв.пит.";300,00 руб.;1,00 шт.;300,00 руб.;150,00 руб.;150,00 руб.;100%
;ZОтчет 18/1252;300,00 руб.;1,00 шт.;300,00 руб.;150,00 руб.;150,00 руб.;100%
77395;"Калькулятор""Citizen CPC-112RDWB"" 12разр. дв.пит.";286,29 руб.;7,00 шт.;2 004,00 руб.;1 384,25 руб.;619,75 руб.;44,77%
;ZОтчет 9/2941;285,00 руб.;1,00 шт.;285,00 руб.;195,15 руб.;89,85 руб.;46,04%
;ZОтчет 5/1506/14876;300,00 руб.;1,00 шт.;300,00 руб.;150,00 руб.;150,00 руб.;100%
;ZОтчет 15/1507;300,00 руб.;1,00 шт.;300,00 руб.;195,15 руб.;104,85 руб.;53,73%
