Отчет о продажах за период;;;;;;;
с 16.09.16 по 28.10.16;;;;;;;
По всем поставщикам, по фирме: Алекс. Суммы включают НДС.;;;;;;;
;;;;;;;
Код;Наименование;Цена;Кол-во;Сумма;Себестоимость;Эффективность;
;;;;;;Сумма;Процент
Возврат товара;;;;-1 480,00 руб.;-879,51 руб.;-600,49 руб.;68,28%
;ZОтчет 19/896;600,00 руб.;1,00 шт.;600,00 руб.;370,00 руб.;230,00 руб.;62,16%
;ZОтчет 12/1533;600,00 руб.;1,00 шт.;600,00 руб.;370,00 руб.;230,00 руб.;62,16%
;ZОтчет 9/2976;570,00 руб.;1,00 шт.;570,00 руб.;380,00 руб.;190,00 руб.;50%
;ZОтчет 2/1586;600,00 руб.;1,00 шт.;600,00 руб.;370,00 руб.;230,00 руб.;62,16%
87344;"Калькулятор""Casio GR-14-W-EH""";625,33 руб.;3,00 шт.;1 876,00 руб.;1 320,00 руб.;556,00 руб.;42,12%
;ZОтчет 51#00000000000003143;546,00 руб.;1,00 шт.;546,00 руб.;440,00 руб.;106,00 руб.;24,09%
;ZОтчет 4/1543;665,00 руб.;2,00 шт.;1 330,00 руб.;880,00 руб.;450,00 руб.;51,14%
117583;"Калькулятор""Casio HL-4A-S-EH""";160,00 руб.;3,00 шт.;480,00 руб.;285,00 руб.;195,00 руб.;68,42%
;ZОтчет 15/1525;160,00 руб.;1,00 шт.;160,00 руб.;95,00 руб.;65,00 руб.;68,42%
;ZОтчет 12/1525;160,00 руб.;1,00 шт.;160,00 руб.;95,00 руб.;65,00 руб.;68,42%
;ZОтчет 20/1585;160,00 руб.;1,00 шт.;160,00 руб.;95,00 руб.;65,00 руб.;68,42%
119298;"Калькулятор""Casio HL-820VA-S-EH""";220,00 руб.;5,00 шт.;1 100,00 руб.;684,25 руб.;415,75 руб.;60,76%
;ZОтчет 2/1562;220,00 руб.;1,00 шт.;220,00 руб.;136,85 руб.;83,15 руб.;60,76%
