Отчет о движении товаров за период;;;;
 01.10.15 - 29.09.16;;;;
По фирме: Алекс, по складу: Основной склад.;;;;
Товар;"Начальный
Остаток";Приход;Расход;"Конечный
Остаток"
"       Расходная накладная № РН16-00398 от 26.01.16 
Покупатель: Королёв А.Н";;;5,00 шт.;16,00 шт.
"       Перемещение П1-0000346 (27.01.16) от 27.01.16
 на склад: Склад для возвратов";;;1,00 шт.;15,00 шт.
"       Перемещение П1-0002185 (29.01.16) от 29.01.16
 на склад: Суворов";;;2,00 шт.;13,00 шт.
"       Перемещение П1-0002940 (04.02.16) от 04.02.16
 на склад: Алексин";;;2,00 шт.;11,00 шт.
       Перемещение П1-0003094 (08.02.16) от 08.02.16 со склада Узловая на склад Основной склад;;12,00 шт.;;23,00 шт.
"       Перемещение П1-0003097 (08.02.16) от 08.02.16
 на склад: Узловая";;;12,00 шт.;11,00 шт.
       Перемещение П1-0003098 (08.02.16) от 08.02.16 со склада Новомосковск на склад Основной склад;;3,00 шт.;;14,00 шт.
"       Перемещение П1-0003099 (08.02.16) от 08.02.16
 на склад: Новомосковск";;;3,00 шт.;11,00 шт.
       Перемещение П1-0003100 (08.02.16) от 08.02.16 со склада Ясногорск на склад Основной склад;;5,00 шт.;;16,00 шт.
"       Перемещение П1-0003108 (08.02.16) от 08.02.16
 на склад: Ясногорск";;;5,00 шт.;11,00 шт.
       Перемещение П1-0003251 (08.02.16) от 08.02.16 со склада Узловая на склад Основной склад;;6,00 шт.;;17,00 шт.
"       Перемещение П1-0003529 (10.02.16) от 10.02.16
 на склад: Выставочный зал";;;2,00 шт.;15,00 шт.
"       Перемещение П1-0003955 (15.02.16) от 15.02.16
 на склад: Узловая";;;5,00 шт.;10,00 шт.
"       Перемещение П1-0003981 (15.02.16) от 15.02.16
 на склад: Руднева";;;2,00 шт.;8,00 шт.
       Перемещение П1-0004634 (20.02.16) от 20.02.16 со склада Ясногорск на склад Основной склад;;2,00 шт.;;10,00 шт.
"       Перемещение П1-0005929 (10.03.16) от 10.03.16
 на склад: Мясново";;;2,00 шт.;8,00 шт.
"       Приходная накладная № ПН1-000743 от 17.03.16 
Поставщик: Электротрейдинг";;20,00 шт.;;28,00 шт.
"       Перемещение П1-0006906 (17.03.16) от 17.03.16
 на склад: Выставочный зал";;;1,00 шт.;27,00 шт.
"       Перемещение П1-0006913 (17.03.16) от 17.03.16
 на склад: Узловая";;;1,00 шт.;26,00 шт.
"       Перемещение П1-0006918 (17.03.16) от 17.03.16
 на склад: Ясногорск";;;2,00 шт.;24,00 шт.
"       Перемещение П1-0006920 (17.03.16) от 17.03.16
 на склад: Новомосковск";;;3,00 шт.;21,00 шт.
"       Перемещение П1-0006929 (17.03.16) от 17.03.16
 на склад: Ефремов";;;1,00 шт.;20,00 шт.
"       Перемещение П1-0006941 (17.03.16) от 17.03.16
 на склад: Новая Лота";;;2,00 шт.;18,00 шт.
"       Перемещение П1-0006945 (17.03.16) от 17.03.16
 на склад: Новый Бизнесцентр";;;2,00 шт.;16,00 шт.
"       Перемещение П1-0006975 (17.03.16) от 17.03.16
 на склад: Щекино";;;2,00 шт.;14,00 шт.
"       Перемещение П1-0007126 (21.03.16) от 21.03.16
 на склад: Ложевая";;;1,00 шт.;13,00 шт.
"       Перемещение П1-0008211 (30.03.16) от 30.03.16
 на склад: Выставочный зал";;;5,00 шт.;8,00 шт.
"       Перемещение П1-0008948 (06.04.16) от 06.04.16
 на склад: Новый Бизнесцентр";;;2,00 шт.;6,00 шт.
"       Расходная накладная № РН16-02683 от 11.04.16 
Покупатель: Королёв А.Н";;;6,00 шт.; 
"       Приходная накладная № ПН1-001194 от 28.04.16 
Поставщик: Электротрейдинг";;40,00 шт.;;40,00 шт.
"       Перемещение П1-0011446 (28.04.16) от 28.04.16
 на склад: Ефремов";;;2,00 шт.;38,00 шт.
"       Перемещение П1-0011464 (28.04.16) от 28.04.16
 на склад: Руднева";;;1,00 шт.;37,00 шт.
"       Перемещение П1-0011467 (28.04.16) от 28.04.16
 на склад: Ясногорск";;;2,00 шт.;35,00 шт.
"       Перемещение П1-0011701 (04.05.16) от 04.05.16
 на склад: Кирова";;;2,00 шт.;33,00 шт.
"       Перемещение П1-0013075 (23.05.16) от 23.05.16
 на склад: Новая Лота";;;2,00 шт.;31,00 шт.
"       Перемещение П1-0013212 (23.05.16) от 23.05.16
 на склад: Узловая";;;5,00 шт.;26,00 шт.
"       Расходная накладная № РН16-03874 от 25.05.16 
Покупатель: Харина О.В.";;;3,00 шт.;23,00 шт.
"       Перемещение П1-0013618 (26.05.16) от 26.05.16
 на склад: Новая Лота";;;3,00 шт.;20,00 шт.
"       Перемещение П1-0013661 (26.05.16) от 26.05.16
 на склад: Выставочный зал";;;4,00 шт.;16,00 шт.
"       Перемещение П1-0013768 (27.05.16) от 27.05.16
 на склад: Руднева";;;6,00 шт.;10,00 шт.
"       Перемещение П1-0013890 (30.05.16) от 30.05.16
 на склад: Новый Бизнесцентр";;;2,00 шт.;8,00 шт.
"       Расходная накладная № РН16-04110 от 02.06.16 
Покупатель: Харина О.В.";;;2,00 шт.;6,00 шт.
"       Перемещение П1-0014423 (03.06.16) от 03.06.16
 на склад: Выставочный зал";;;2,00 шт.;4,00 шт.
"       Перемещение П1-0014448 (06.06.16) от 06.06.16
 на склад: Ефремов";;;2,00 шт.;2,00 шт.
"       Перемещение П1-0014954 (10.06.16) от 10.06.16
 на склад: Ложевая";;;1,00 шт.;1,00 шт.
"       Перемещение П1-0014971 (10.06.16) от 10.06.16
 на склад: Новая Лота";;;1,00 шт.; 
"       Приходная накладная № ПН1-001730 от 24.06.16 
Поставщик: Электротрейдинг";;20,00 шт.;;20,00 шт.
"       Перемещение П1-0016187 (24.06.16) от 24.06.16
 на склад: Выставочный зал";;;3,00 шт.;17,00 шт.
"       Перемещение П1-0016196 (24.06.16) от 24.06.16
 на склад: Мясново";;;2,00 шт.;15,00 шт.
"       Перемещение П1-0016220 (24.06.16) от 24.06.16
 на склад: Новая Лота";;;3,00 шт.;12,00 шт.
"       Перемещение П1-0016223 (24.06.16) от 24.06.16
 на склад: Новый Престиж";;;2,00 шт.;10,00 шт.
"       Перемещение П1-0016230 (24.06.16) от 24.06.16
 на склад: Суворов";;;1,00 шт.;9,00 шт.
"       Расходная накладная № РН16-04917 от 01.07.16 
Покупатель: Харина О.В.";;;2,00 шт.;7,00 шт.
"       Перемещение П1-0018366 (22.07.16) от 22.07.16
 на склад: Выставочный зал";;;2,00 шт.;5,00 шт.
"       Перемещение П1-0018458 (25.07.16) от 25.07.16
 на склад: Кирова";;;2,00 шт.;3,00 шт.
"       Перемещение П1-0019786 (09.08.16) от 09.08.16
 на склад: Мясново";;;2,00 шт.;1,00 шт.
"       Перемещение П1-0020307 (15.08.16) от 15.08.16
 на склад: Выставочный зал";;;1,00 шт.; 
"       Приходная накладная № ПН1-002150 от 15.08.16 
Поставщик: рельеф-центр";;40,00 шт.;;40,00 шт.
"       Перемещение П1-0020403 (15.08.16) от 15.08.16
 на склад: Выставочный зал";;;2,00 шт.;38,00 шт.
"       Перемещение П1-0020548 (16.08.16) от 16.08.16
 на склад: Новая Лота";;;2,00 шт.;36,00 шт.
"       Перемещение П1-0020557 (16.08.16) от 16.08.16
 на склад: Кирова";;;2,00 шт.;34,00 шт.
"       Перемещение П1-0020558 (16.08.16) от 16.08.16
 на склад: Новый Престиж";;;2,00 шт.;32,00 шт.
"       Расходная накладная № РН16-06065 от 16.08.16 
Покупатель: Харина О.В.";;;3,00 шт.;29,00 шт.
"       Перемещение П1-0020599 (16.08.16) от 16.08.16
 на склад: Новый Ефремов";;;3,00 шт.;26,00 шт.
"       Перемещение П1-0020675 (16.08.16) от 16.08.16
 на склад: Узловая";;;5,00 шт.;21,00 шт.
"       Перемещение П1-0020688 (17.08.16) от 17.08.16
 на склад: Новомосковск";;;2,00 шт.;19,00 шт.
"       Перемещение П1-0020900 (18.08.16) от 18.08.16
 на склад: Алексин";;;1,00 шт.;18,00 шт.
"       Перемещение П1-0020962 (18.08.16) от 18.08.16
 на склад: Ясногорск";;;2,00 шт.;16,00 шт.
       Перемещение П1-0021038 (18.08.16) от 18.08.16 со склада Новомосковск на склад Основной склад;;1,00 шт.;;17,00 шт.
"       Перемещение П1-0023254 (05.09.16) от 05.09.16
 на склад: Новая Лота";;;2,00 шт.;15,00 шт.
"       Приходная накладная № ПН1-002458 от 05.09.16 
Поставщик: САМСОН-опт грузополучатель!!!";;40,00 шт.;;55,00 шт.
"       Перемещение П1-0023570 (07.09.16) от 07.09.16
 на склад: Новый Бизнесцентр";;;2,00 шт.;53,00 шт.
"       Расходная накладная № РН16-06958 от 09.09.16 
Покупатель: Харина О.В.";;;2,00 шт.;51,00 шт.
"       Перемещение П1-0020799 (12.09.16) от 12.09.16
 на склад: Склад для возвратов";;;2,00 шт.;49,00 шт.
"       Перемещение П1-0024910 (16.09.16) от 16.09.16
 на склад: Ефремов";;;2,00 шт.;47,00 шт.
"       Перемещение П1-0024911 (16.09.16) от 16.09.16
 на склад: Кирова";;;2,00 шт.;45,00 шт.
"       Перемещение П1-0024962 (19.09.16) от 19.09.16
 на склад: Выставочный зал";;;2,00 шт.;43,00 шт.
"       Расходная накладная № РН16-06769 от 21.09.16 
Покупатель: ип тишина";;;10,00 шт.;33,00 шт.
"       Перемещение П1-0025493 (21.09.16) от 21.09.16
 на склад: Ефремов";;;3,00 шт.;30,00 шт.
"       Перемещение П1-0025829 (26.09.16) от 26.09.16
 на склад: Ложевая";;;2,00 шт.;28,00 шт.
"       Перемещение П1-0025891 (26.09.16) от 26.09.16
 на склад: Узловая";;;5,00 шт.;23,00 шт.
"33752 Калькулятор""Citizen LC-210N""";27,00 шт.;221,00 шт.;224,00 шт.;24,00 шт.
"       Перемещение П1-0028983 (01.10.15) от 01.10.15
 на склад: Выставочный зал";;;3,00 шт.;24,00 шт.
"       Перемещение П1-0029023 (02.10.15) от 02.10.15
 на склад: Кирова";;;2,00 шт.;22,00 шт.
"       Перемещение П1-0029567 (08.10.15) от 08.10.15
 на склад: Щекино";;;5,00 шт.;17,00 шт.
"       Перемещение П1-0029779 (12.10.15) от 12.10.15
 на склад: Новый Бизнесцентр";;;2,00 шт.;15,00 шт.
"       Перемещение П1-0030473 (19.10.15) от 19.10.15
 на склад: Новый Бизнесцентр";;;2,00 шт.;13,00 шт.
"       Расходная накладная № РН09-25429 от 19.10.15 
Покупатель: ИП Сафоновская";;;4,00 шт.;9,00 шт.
"       Перемещение П1-0031766 (28.10.15) от 28.10.15
 на склад: Новый Ефремов";;;2,00 шт.;7,00 шт.
"       Перемещение П1-0031872 (29.10.15) от 29.10.15
 на склад: Суворов";;;2,00 шт.;5,00 шт.
"       Перемещение П1-0032568 (05.11.15) от 05.11.15
 на склад: Донской";;;1,00 шт.;4,00 шт.
"       Перемещение П1-0032631 (05.11.15) от 05.11.15
 на склад: Руднева";;;1,00 шт.;3,00 шт.
"       Перемещение П1-0032634 (05.11.15) от 05.11.15
 на склад: Новый Бизнесцентр";;;2,00 шт.;1,00 шт.
"       Перемещение П1-0032814 (09.11.15) от 09.11.15
 на склад: Выставочный зал";;;1,00 шт.; 
"       Приходная накладная № ПН1-003698 от 13.11.15 
Поставщик: Элтрейдинг";;40,00 шт.;;40,00 шт.
"       Перемещение П1-0033448 (13.11.15) от 13.11.15
 на склад: Выставочный зал";;;2,00 шт.;38,00 шт.
"       Перемещение П1-0033454 (13.11.15) от 13.11.15
 на склад: Новомосковск";;;5,00 шт.;33,00 шт.
"       Перемещение П1-0033455 (13.11.15) от 13.11.15
 на склад: Узловая";;;5,00 шт.;28,00 шт.
"       Перемещение П1-0033471 (13.11.15) от 13.11.15
 на склад: Новый Бизнесцентр";;;3,00 шт.;25,00 шт.
"       Перемещение П1-0033487 (13.11.15) от 13.11.15
 на склад: Ясногорск";;;3,00 шт.;22,00 шт.
"       Расходная накладная № РН09-26310 от 13.11.15 
Покупатель: корчагина";;;7,00 шт.;15,00 шт.
"       Перемещение П1-0033549 (16.11.15) от 16.11.15
 на склад: Донской";;;2,00 шт.;13,00 шт.
"       Перемещение П1-0033559 (16.11.15) от 16.11.15
 на склад: Ложевая";;;2,00 шт.;11,00 шт.
"       Перемещение П1-0033568 (16.11.15) от 16.11.15
 на склад: Донской";;;2,00 шт.;9,00 шт.
"       Расходная накладная № РН09-26336 от 16.11.15 
Покупатель: частное лицо(кондратова)";;;1,00 шт.;8,00 шт.
"       Перемещение П1-0034141 (20.11.15) от 20.11.15
 на склад: Новая Лота";;;2,00 шт.;6,00 шт.
"       Перемещение П1-0035780 (07.12.15) от 07.12.15
 на склад: Выставочный зал";;;3,00 шт.;3,00 шт.
"       Перемещение П1-0035785 (07.12.15) от 07.12.15
 на склад: Новая Лота";;;2,00 шт.;1,00 шт.
"       Перемещение П1-0036266 (09.12.15) от 09.12.15
 на склад: Выставочный зал";;;1,00 шт.; 
"       Приходная накладная № ПН1-004155 от 18.12.15 
Поставщик: Элтрейдинг";;40,00 шт.;;40,00 шт.
"       Перемещение П1-0037381 (18.12.15) от 18.12.15
 на склад: Узловая";;;7,00 шт.;33,00 шт.
"       Перемещение П1-0037403 (18.12.15) от 18.12.15
 на склад: Ясногорск";;;2,00 шт.;31,00 шт.
"       Перемещение П1-0037424 (18.12.15) от 18.12.15
 на склад: Новый Ефремов";;;2,00 шт.;29,00 шт.
"       Перемещение П1-0037437 (18.12.15) от 18.12.15
 на склад: Руднева";;;1,00 шт.;28,00 шт.
"       Перемещение П1-0037441 (18.12.15) от 18.12.15
 на склад: Суворов";;;3,00 шт.;25,00 шт.
"       Перемещение П1-0038517 (29.12.15) от 29.12.15
 на склад: Руднева";;;2,00 шт.;23,00 шт.
"       Перемещение П1-0001203 (20.01.16) от 20.01.16
 на склад: Новая Лота";;;3,00 шт.;20,00 шт.
"       Перемещение П1-0001703 (25.01.16) от 25.01.16
 на склад: Узловая";;;5,00 шт.;15,00 шт.
"       Перемещение П1-0001749 (26.01.16) от 26.01.16
 на склад: Кирова";;;2,00 шт.;13,00 шт.
"       Перемещение П1-0001758 (26.01.16) от 26.01.16
 на склад: Новый Ефремов";;;2,00 шт.;11,00 шт.
"       Расходная накладная № РН16-00398 от 26.01.16 
Покупатель: Королёв А.Н";;;5,00 шт.;6,00 шт.
"       Перемещение П1-0002173 (29.01.16) от 29.01.16
 на склад: Выставочный зал";;;2,00 шт.;4,00 шт.
"       Перемещение П1-0002654 (03.02.16) от 03.02.16
 на склад: Выставочный зал";;;2,00 шт.;2,00 шт.
"       Перемещение П1-0002680 (03.02.16) от 03.02.16
 на склад: Кирова";;;1,00 шт.;1,00 шт.
"       Перемещение П1-0003015 (05.02.16) от 05.02.16
 на склад: Выставочный зал";;;1,00 шт.; 
       Перемещение П1-0003094 (08.02.16) от 08.02.16 со склада Узловая на склад Основной склад;;14,00 шт.;;14,00 шт.
"       Перемещение П1-0003097 (08.02.16) от 08.02.16
 на склад: Узловая";;;14,00 шт.; 
       Перемещение П1-0003098 (08.02.16) от 08.02.16 со склада Новомосковск на склад Основной склад;;4,00 шт.;;4,00 шт.
"       Перемещение П1-0003099 (08.02.16) от 08.02.16
 на склад: Новомосковск";;;4,00 шт.; 
       Перемещение П1-0003100 (08.02.16) от 08.02.16 со склада Ясногорск на склад Основной склад;;4,00 шт.;;4,00 шт.
"       Перемещение П1-0003108 (08.02.16) от 08.02.16
 на склад: Ясногорск";;;4,00 шт.; 
       Перемещение П1-0003251 (08.02.16) от 08.02.16 со склада Узловая на склад Основной склад;;9,00 шт.;;9,00 шт.
"       Перемещение П1-0003876 (15.02.16) от 15.02.16
 на склад: Новая Лота";;;2,00 шт.;7,00 шт.
"       Перемещение П1-0003955 (15.02.16) от 15.02.16
 на склад: Узловая";;;3,00 шт.;4,00 шт.
"       Перемещение П1-0004445 (19.02.16) от 19.02.16
 на склад: Ясногорск";;;2,00 шт.;2,00 шт.
"       Перемещение П1-0004576 (20.02.16) от 20.02.16
 на склад: Выставочный зал";;;1,00 шт.;1,00 шт.
"       Перемещение П1-0005837 (09.03.16) от 09.03.16
 на склад: Новая Лота";;;1,00 шт.; 
"       Приходная накладная № ПН1-000743 от 17.03.16 
Поставщик: Электротрейдинг";;30,00 шт.;;30,00 шт.
"       Перемещение П1-0006906 (17.03.16) от 17.03.16
 на склад: Выставочный зал";;;1,00 шт.;29,00 шт.
"       Перемещение П1-0006913 (17.03.16) от 17.03.16
 на склад: Узловая";;;3,00 шт.;26,00 шт.
"       Перемещение П1-0006918 (17.03.16) от 17.03.16
 на склад: Ясногорск";;;2,00 шт.;24,00 шт.
"       Перемещение П1-0006920 (17.03.16) от 17.03.16
 на склад: Новомосковск";;;3,00 шт.;21,00 шт.
"       Перемещение П1-0006929 (17.03.16) от 17.03.16
 на склад: Ефремов";;;1,00 шт.;20,00 шт.
"       Перемещение П1-0006941 (17.03.16) от 17.03.16
 на склад: Новая Лота";;;2,00 шт.;18,00 шт.
"       Перемещение П1-0006945 (17.03.16) от 17.03.16
 на склад: Новый Бизнесцентр";;;2,00 шт.;16,00 шт.
"       Перемещение П1-0006965 (17.03.16) от 17.03.16
 на склад: Новый Ефремов";;;2,00 шт.;14,00 шт.
"       Перемещение П1-0006975 (17.03.16) от 17.03.16
 на склад: Щекино";;;2,00 шт.;12,00 шт.
"       Перемещение П1-0008211 (30.03.16) от 30.03.16
 на склад: Выставочный зал";;;5,00 шт.;7,00 шт.
"       Расходная накладная № РН16-02587 от 07.04.16 
Покупатель: Харина О.В.";;;2,00 шт.;5,00 шт.
"       Перемещение П1-0010265 (18.04.16) от 18.04.16
 на склад: Узловая";;;3,00 шт.;2,00 шт.
"       Перемещение П1-0011148 (26.04.16) от 26.04.16
 на склад: Новая Лота";;;2,00 шт.; 
"       Приходная накладная № ПН1-001194 от 28.04.16 
Поставщик: Электротрейдинг";;40,00 шт.;;40,00 шт.
"       Перемещение П1-0011467 (28.04.16) от 28.04.16
 на склад: Ясногорск";;;2,00 шт.;38,00 шт.
"       Перемещение П1-0012439 (16.05.16) от 16.05.16
 на склад: Новый Бизнесцентр";;;2,00 шт.;36,00 шт.
"       Перемещение П1-0013075 (23.05.16) от 23.05.16
 на склад: Новая Лота";;;2,00 шт.;34,00 шт.
"       Перемещение П1-0013083 (23.05.16) от 23.05.16
 на склад: Новый Ефремов";;;2,00 шт.;32,00 шт.
"       Перемещение П1-0013212 (23.05.16) от 23.05.16
 на склад: Узловая";;;5,00 шт.;27,00 шт.
"       Перемещение П1-0013618 (26.05.16) от 26.05.16
 на склад: Новая Лота";;;3,00 шт.;24,00 шт.
"       Перемещение П1-0013661 (26.05.16) от 26.05.16
 на склад: Выставочный зал";;;4,00 шт.;20,00 шт.
"       Перемещение П1-0014224 (02.06.16) от 02.06.16
 на склад: Руднева";;;2,00 шт.;18,00 шт.
"       Расходная накладная № РН16-04146 от 02.06.16 
Покупатель: частное лицо(кондратова)";;;2,00 шт.;16,00 шт.
"       Перемещение П1-0014449 (06.06.16) от 06.06.16
 на склад: Новый Бизнесцентр";;;2,00 шт.;14,00 шт.
"       Перемещение П1-0014451 (06.06.16) от 06.06.16
 на склад: Суворов";;;2,00 шт.;12,00 шт.
"       Перемещение П1-0014952 (10.06.16) от 10.06.16
 на склад: Кирова";;;2,00 шт.;10,00 шт.
"       Перемещение П1-0014954 (10.06.16) от 10.06.16
 на склад: Ложевая";;;1,00 шт.;9,00 шт.
"       Перемещение П1-0014971 (10.06.16) от 10.06.16
 на склад: Новая Лота";;;2,00 шт.;7,00 шт.
"       Расходная накладная № РН16-04459 от 15.06.16 
Покупатель: Королёв А.Н";;;3,00 шт.;4,00 шт.
"       Перемещение П1-0015472 (16.06.16) от 16.06.16
 на склад: Мясново";;;2,00 шт.;2,00 шт.
"       Перемещение П1-0015550 (17.06.16) от 17.06.16
 на склад: Выставочный зал";;;2,00 шт.; 
"       Приходная накладная № ПН1-002731 от 26.09.16 
Поставщик: САМСОН-опт грузополучатель!!!";;40,00 шт.;;40,00 шт.
"       Перемещение П1-0025801 (26.09.16) от 26.09.16
 на склад: Выставочный зал";;;3,00 шт.;37,00 шт.
"       Перемещение П1-0025825 (26.09.16) от 26.09.16
 на склад: Кирова";;;2,00 шт.;35,00 шт.
"       Перемещение П1-0025834 (26.09.16) от 26.09.16
 на склад: Новая Лота";;;2,00 шт.;33,00 шт.
"       Перемещение П1-0025838 (26.09.16) от 26.09.16
 на склад: Новый Бизнесцентр";;;2,00 шт.;31,00 шт.
"       Перемещение П1-0025891 (26.09.16) от 26.09.16
 на склад: Узловая";;;5,00 шт.;26,00 шт.
"       Перемещение П1-0026037 (27.09.16) от 27.09.16
 на склад: Руднева";;;2,00 шт.;24,00 шт.
"22976 Калькулятор""Citizen LC-310 N"""; ;40,00 шт.;20,00 шт.;20,00 шт.
"       Приходная накладная № ПН1-002729 от 26.09.16 
Поставщик: САМСОН-опт грузополучатель!!!";;40,00 шт.;;40,00 шт.
"       Перемещение П1-0025801 (26.09.16) от 26.09.16
 на склад: Выставочный зал";;;3,00 шт.;37,00 шт.
"       Перемещение П1-0025822 (26.09.16) от 26.09.16
 на склад: Алексин";;;2,00 шт.;35,00 шт.
"       Перемещение П1-0025825 (26.09.16) от 26.09.16
 на склад: Кирова";;;2,00 шт.;33,00 шт.
"       Перемещение П1-0025829 (26.09.16) от 26.09.16
 на склад: Ложевая";;;2,00 шт.;31,00 шт.
"       Перемещение П1-0025834 (26.09.16) от 26.09.16
 на склад: Новая Лота";;;2,00 шт.;29,00 шт.
"       Перемещение П1-0025838 (26.09.16) от 26.09.16
 на склад: Новый Бизнесцентр";;;2,00 шт.;27,00 шт.
"       Перемещение П1-0025891 (26.09.16) от 26.09.16
 на склад: Узловая";;;5,00 шт.;22,00 шт.
"       Перемещение П1-0026037 (27.09.16) от 27.09.16
 на склад: Руднева";;;2,00 шт.;20,00 шт.
"167683 Калькулятор""Citizen SDC-011S"" 8разр.,дв.пит.";11,00 шт.;163,00 шт.;162,00 шт.;12,00 шт.
"       Расходная накладная № РН09-24972 от 02.10.15 
Покупатель: Харина О.В.";;;3,00 шт.;8,00 шт.
"       Перемещение П1-0029795 (12.10.15) от 12.10.15
 на склад: Суворов";;;1,00 шт.;7,00 шт.
"       Перемещение П1-0030468 (19.10.15) от 19.10.15
 на склад: Кирова";;;1,00 шт.;6,00 шт.
"       Перемещение П1-0031422 (26.10.15) от 26.10.15
 на склад: Новая Лота";;;2,00 шт.;4,00 шт.
"       Перемещение П1-0032219 (02.11.15) от 02.11.15
 на склад: Новомосковск";;;2,00 шт.;2,00 шт.
"       Перемещение П1-0032320 (03.11.15) от 03.11.15
 на склад: Ефремов";;;2,00 шт.; 
"       Приходная накладная № ПН1-003698 от 13.11.15 
Поставщик: Элтрейдинг";;20,00 шт.;;20,00 шт.
"       Перемещение П1-0033448 (13.11.15) от 13.11.15
 на склад: Выставочный зал";;;2,00 шт.;18,00 шт.
"       Перемещение П1-0033455 (13.11.15) от 13.11.15
 на склад: Узловая";;;3,00 шт.;15,00 шт.
"       Перемещение П1-0033471 (13.11.15) от 13.11.15
 на склад: Новый Бизнесцентр";;;2,00 шт.;13,00 шт.
"       Перемещение П1-0033483 (13.11.15) от 13.11.15
 на склад: Кирова";;;2,00 шт.;11,00 шт.
"       Расходная накладная № РН09-26310 от 13.11.15 
Покупатель: корчагина";;;5,00 шт.;6,00 шт.
"       Перемещение П1-0033526 (16.11.15) от 16.11.15
 на склад: Суворов";;;1,00 шт.;5,00 шт.
"       Перемещение П1-0033534 (16.11.15) от 16.11.15
 на склад: Руднева";;;1,00 шт.;4,00 шт.
"       Перемещение П1-0034095 (20.11.15) от 20.11.15
 на склад: Выставочный зал";;;1,00 шт.;3,00 шт.
"       Перемещение П1-0034141 (20.11.15) от 20.11.15
 на склад: Новая Лота";;;1,00 шт.;2,00 шт.
"       Перемещение П1-0034228 (23.11.15) от 23.11.15
 на склад: Выставочный зал";;;1,00 шт.;1,00 шт.
       Перемещение П1-0034432 (24.11.15) от 24.11.15 со склада Ложевая на склад Основной склад;;1,00 шт.;;2,00 шт.
"       Перемещение П1-0034434 (24.11.15) от 24.11.15
 на склад: Склад для возвратов";;;1,00 шт.;1,00 шт.
"       Перемещение П1-0034504 (24.11.15) от 24.11.15
 на склад: Ложевая";;;1,00 шт.; 
"       Приходная накладная № ПН1-004155 от 18.12.15 
Поставщик: Элтрейдинг";;20,00 шт.;;20,00 шт.
"       Перемещение П1-0037376 (18.12.15) от 18.12.15
 на склад: Выставочный зал";;;2,00 шт.;18,00 шт.
"       Перемещение П1-0037377 (18.12.15) от 18.12.15
 на склад: Донской";;;1,00 шт.;17,00 шт.
"       Перемещение П1-0037383 (18.12.15) от 18.12.15
 на склад: Ложевая";;;2,00 шт.;15,00 шт.
"       Перемещение П1-0037384 (18.12.15) от 18.12.15
 на склад: Новая Лота";;;2,00 шт.;13,00 шт.
"       Перемещение П1-0037401 (18.12.15) от 18.12.15
 на склад: Новомосковск";;;4,00 шт.;9,00 шт.
"       Перемещение П1-0037403 (18.12.15) от 18.12.15
 на склад: Ясногорск";;;2,00 шт.;7,00 шт.
"       Перемещение П1-0037424 (18.12.15) от 18.12.15
 на склад: Новый Ефремов";;;1,00 шт.;6,00 шт.
"       Перемещение П1-0037441 (18.12.15) от 18.12.15
 на склад: Суворов";;;1,00 шт.;5,00 шт.
"       Расходная накладная № РН09-27907 от 23.12.15 
Покупатель: Королёв А.Н";;;1,00 шт.;4,00 шт.
"       Перемещение П1-0038316 (25.12.15) от 25.12.15
 на склад: Новый Бизнесцентр";;;1,00 шт.;3,00 шт.
"       Перемещение П1-0038620 (29.12.15) от 29.12.15
 на склад: Новый Ефремов";;;1,00 шт.;2,00 шт.
"       Расходная накладная № РН09-00027 от 11.01.16 
Покупатель: Харина О.В.";;;2,00 шт.; 
       Перемещение П1-0004634 (20.02.16) от 20.02.16 со склада Ясногорск на склад Основной склад;;1,00 шт.;;1,00 шт.
"       Перемещение П1-0004640 (24.02.16) от 24.02.16
 на склад: Новый Бизнесцентр";;;1,00 шт.; 
"       Приходная накладная № ПН1-000743 от 17.03.16 
Поставщик: Электротрейдинг";;30,00 шт.;;30,00 шт.
"       Перемещение П1-0006896 (17.03.16) от 17.03.16
 на склад: Алексин";;;1,00 шт.;29,00 шт.
"       Перемещение П1-0006906 (17.03.16) от 17.03.16
 на склад: Выставочный зал";;;2,00 шт.;27,00 шт.
"       Перемещение П1-0006907 (17.03.16) от 17.03.16
 на склад: Донской";;;1,00 шт.;26,00 шт.
"       Перемещение П1-0006913 (17.03.16) от 17.03.16
 на склад: Узловая";;;3,00 шт.;23,00 шт.
"       Перемещение П1-0006918 (17.03.16) от 17.03.16
 на склад: Ясногорск";;;2,00 шт.;21,00 шт.
"       Перемещение П1-0006920 (17.03.16) от 17.03.16
 на склад: Новомосковск";;;3,00 шт.;18,00 шт.
"       Перемещение П1-0006929 (17.03.16) от 17.03.16
 на склад: Ефремов";;;1,00 шт.;17,00 шт.
"       Перемещение П1-0006936 (17.03.16) от 17.03.16
 на склад: Кирова";;;1,00 шт.;16,00 шт.
"       Перемещение П1-0006941 (17.03.16) от 17.03.16
 на склад: Новая Лота";;;2,00 шт.;14,00 шт.
"       Перемещение П1-0006945 (17.03.16) от 17.03.16
 на склад: Новый Бизнесцентр";;;2,00 шт.;12,00 шт.
"       Перемещение П1-0006965 (17.03.16) от 17.03.16
 на склад: Новый Ефремов";;;2,00 шт.;10,00 шт.
"       Перемещение П1-0006967 (17.03.16) от 17.03.16
 на склад: Руднева";;;1,00 шт.;9,00 шт.
"       Перемещение П1-0008211 (30.03.16) от 30.03.16
 на склад: Выставочный зал";;;5,00 шт.;4,00 шт.
