Отчет о продажах за период,,,,,,,
с 01.12.15 по 31.01.16,,,,,,,
"По всем поставщикам, по фирме: Алекс. Суммы включают НДС.",,,,,,,
,,,,,,,
Код,Наименование,Цена,Кол-во,Сумма,Себестоимость,Эффективность,
,,,,,,Сумма,Процент
Возврат товара,,,,"-382,50 руб.","-291,94 руб.","-90,56 руб.","31,02%"
,ZОтчет 15/1274,"250,00 руб.","1,00 шт.","250,00 руб.","120,00 руб.","130,00 руб.","108,33%"
77395,"Калькулятор""Citizen CPC-112RDWB"" 12разр. дв.пит.","300,00 руб.","4,00 шт.","1 200,00 руб.","818,70 руб.","381,30 руб.","46,57%"
,ZОтчет 14/1248,"300,00 руб.","1,00 шт.","300,00 руб.","259,35 руб.","40,65 руб.","15,67%"
,ZОтчет 9/2701,"300,00 руб.","1,00 шт.","300,00 руб.","150,00 руб.","150,00 руб.",100%
,ZОтчет 15/1276,"300,00 руб.","1,00 шт.","300,00 руб.","150,00 руб.","150,00 руб.",100%
,ZОтчет 5/1291/9219,"300,00 руб.","1,00 шт.","300,00 руб.","259,35 руб.","40,65 руб.","15,67%"
159951,"Калькулятор""Citizen CT-600J"" 12разр.","930,00 руб.","1,00 шт.","930,00 руб.","434,00 руб.","496,00 руб.","114,29%"
,ZОтчет 12/1250,"930,00 руб.","1,00 шт.","930,00 руб.","434,00 руб.","496,00 руб.","114,29%"
22415,"Калькулятор""Citizen LC-110N"" 8разр.","122,28 руб.","17,00 шт.","2 078,78 руб.","1 227,88 руб.","850,90 руб.","69,3%"
,ZОтчет 5/1242/8249,"125,00 руб.","1,00 шт.","125,00 руб.","70,56 руб.","54,44 руб.","77,15%"
,ZОтчет 5/1244/8296,"125,00 руб.","1,00 шт.","125,00 руб.","70,56 руб.","54,44 руб.","77,15%"
,ZОтчет 15/1236,"125,00 руб.","1,00 шт.","125,00 руб.","74,77 руб.","50,23 руб.","67,18%"
,ZОтчет 9/2679,"118,75 руб.","1,00 шт.","118,75 руб.","77,84 руб.","40,91 руб.","52,56%"
,ZОтчет 20/1284,"106,30 руб.","1,00 шт.","106,30 руб.","74,77 руб.","31,53 руб.","42,17%"
,ZОтчет 8/1255/3025,"125,00 руб.","1,00 шт.","125,00 руб.","77,84 руб.","47,16 руб.","60,59%"
,ZОтчет 4/1266/8618,"125,00 руб.","1,00 шт.","125,00 руб.","77,84 руб.","47,16 руб.","60,59%"
,ZОтчет 2/1289/8654,"125,00 руб.","1,00 шт.","125,00 руб.","70,56 руб.","54,44 руб.","77,15%"
,ZОтчет 51#00000000000002928,"109,98 руб.","1,00 шт.","109,98 руб.","66,40 руб.","43,58 руб.","65,63%"
,ZОтчет 8/1275/3064,"125,00 руб.","1,00 шт.","125,00 руб.","77,84 руб.","47,16 руб.","60,59%"
,ZОтчет 5/1278/8978,"125,00 руб.","1,00 шт.","125,00 руб.","74,77 руб.","50,23 руб.","67,18%"
,ZОтчет 15/1274,"125,00 руб.","1,00 шт.","125,00 руб.","74,77 руб.","50,23 руб.","67,18%"
,ZОтчет 16/1274,"125,00 руб.","1,00 шт.","125,00 руб.","66,40 руб.","58,60 руб.","88,25%"
,ZОтчет 3/1265/9040,"125,00 руб.","1,00 шт.","125,00 руб.","70,56 руб.","54,44 руб.","77,15%"
,ZОтчет 9/2716,"118,75 руб.","1,00 шт.","118,75 руб.","77,84 руб.","40,91 руб.","52,56%"
,ZОтчет 5/1290/9187,"125,00 руб.","1,00 шт.","125,00 руб.","46,08 руб.","78,92 руб.","171,27%"
