Отчет о продажах за период,,,,,,,
с 01.01.16 по 31.01.16,,,,,,,
"По всем поставщикам, по фирме: Алекс. Суммы включают НДС.",,,,,,,
,,,,,,,
Код,Наименование,Цена,Кол-во,Сумма,Себестоимость,Эффективность,
,,,,,,Сумма,Процент
,ZОтчет 5/1274/8908,"237,50 руб.","1,00 шт.","237,50 руб.","156,87 руб.","80,63 руб.","51,4%"
,ZОтчет 2/1314/9085,"250,00 руб.","1,00 шт.","250,00 руб.","156,87 руб.","93,13 руб.","59,37%"
,ZОтчет 8/1290/3095,"250,00 руб.","1,00 шт.","250,00 руб.","155,59 руб.","94,41 руб.","60,68%"
,ZОтчет 11/1348,"250,00 руб.","1,00 шт.","250,00 руб.","96,05 руб.","153,95 руб.","160,28%"
179022,"Калькулятор""Citizen SDC-022S"" 10разр.,дв.пит.","265,00 руб.","3,00 шт.","795,00 руб.","488,95 руб.","306,05 руб.","62,59%"
,ZОтчет 2/1307/8960,"265,00 руб.","1,00 шт.","265,00 руб.","155,59 руб.","109,41 руб.","70,32%"
,ZОтчет 15/1276,"265,00 руб.","1,00 шт.","265,00 руб.","166,68 руб.","98,32 руб.","58,99%"
,ZОтчет 18/1002,"265,00 руб.","1,00 шт.","265,00 руб.","166,68 руб.","98,32 руб.","58,99%"
179023,"Калькулятор""Citizen SDC-444S"" 12разр. дв.пит.","627,44 руб.","4,00 шт.","2 509,74 руб.","1 465,56 руб.","1 044,18 руб.","71,25%"
,ZОтчет 5/1277/8964,"578,00 руб.","1,00 шт.","578,00 руб.","366,39 руб.","211,61 руб.","57,76%"
,ZОтчет 51#00000000000002933,"571,74 руб.","1,00 шт.","571,74 руб.","366,39 руб.","205,35 руб.","56,05%"
,ZОтчет 9/2716,"680,00 руб.","1,00 шт.","680,00 руб.","366,39 руб.","313,61 руб.","85,59%"
,ZОтчет 5/1292/9235,"680,00 руб.","1,00 шт.","680,00 руб.","366,39 руб.","313,61 руб.","85,59%"
179024,"Калькулятор""Citizen SDC-554S"" 14разр.,дв.пит.","710,00 руб.","5,00 шт.","3 550,00 руб.","2 159,73 руб.","1 390,27 руб.","64,37%"
,ZОтчет 10/964,"710,00 руб.","1,00 шт.","710,00 руб.","442,35 руб.","267,65 руб.","60,51%"
,ZОтчет 5/1285/9101,"710,00 руб.","1,00 шт.","710,00 руб.","442,35 руб.","267,65 руб.","60,51%"
,ZОтчет 15/1288,"710,00 руб.","1,00 шт.","710,00 руб.","442,35 руб.","267,65 руб.","60,51%"
,ZОтчет 2/1323/9246,"710,00 руб.","2,00 шт.","1 420,00 руб.","832,68 руб.","587,32 руб.","70,53%"
19834,"Калькулятор""Citizen SDC-664S"" 16разр.","682,50 руб.","6,00 шт.","4 095,00 руб.","2 456,31 руб.","1 638,69 руб.","66,71%"
,ZОтчет 2/1307/8960,"700,00 руб.","1,00 шт.","700,00 руб.","439,02 руб.","260,98 руб.","59,45%"
,ZОтчет 10/962,"700,00 руб.","1,00 шт.","700,00 руб.","383,77 руб.","316,23 руб.","82,4%"
,ZОтчет 10/963,"700,00 руб.","1,00 шт.","700,00 руб.","383,77 руб.","316,23 руб.","82,4%"
,ZОтчет 5/1285/9101,"595,00 руб.","1,00 шт.","595,00 руб.","383,77 руб.","211,23 руб.","55,04%"
,ZОтчет 10/971,"700,00 руб.","1,00 шт.","700,00 руб.","426,96 руб.","273,04 руб.","63,95%"
,ZОтчет 12/1291,"700,00 руб.","1,00 шт.","700,00 руб.","439,02 руб.","260,98 руб.","59,45%"
84545,"Калькулятор""Citizen SDC-805BN"" 8разр.","294,50 руб.","4,00 шт.","1 178,00 руб.","748,05 руб.","429,95 руб.","57,48%"
,ZОтчет 2/1304/8909,"310,00 руб.","1,00 шт.","310,00 руб.","185,72 руб.","124,28 руб.","66,92%"
,ZОтчет 16/1269,"263,50 руб.","1,00 шт.","263,50 руб.","190,89 руб.","72,61 руб.","38,04%"
,ZОтчет 15/1279,"294,50 руб.","1,00 шт.","294,50 руб.","185,72 руб.","108,78 руб.","58,57%"
,ZОтчет 15/1284,"310,00 руб.","1,00 шт.","310,00 руб.","185,72 руб.","124,28 руб.","66,92%"
85059,"Калькулятор""Citizen SDC-810BN"" 10разр.","325,05 руб.","10,00 шт.","3 250,50 руб.","2 040,14 руб.","1 210,36 руб.","59,33%"
,ZОтчет 15/1271,"330,00 руб.","1,00 шт.","330,00 руб.","204,97 руб.","125,03 руб.",61%
,ZОтчет 2/1306/8938,"330,00 руб.","2,00 шт.","660,00 руб.","403,58 руб.","256,42 руб.","63,54%"
,ZОтчет 11/1331,"330,00 руб.","1,00 шт.","330,00 руб.","204,97 руб.","125,03 руб.",61%
,ZОтчет 4/1294/9106,"330,00 руб.","1,00 шт.","330,00 руб.","204,97 руб.","125,03 руб.",61%
,ZОтчет 5/1286/9131,"330,00 руб.","1,00 шт.","330,00 руб.","204,97 руб.","125,03 руб.",61%
,ZОтчет 15/1286,"330,00 руб.","1,00 шт.","330,00 руб.","197,03 руб.","132,97 руб.","67,49%"
,ZОтчет 2/1322/9225,"313,50 руб.","1,00 шт.","313,50 руб.","206,55 руб.","106,95 руб.","51,78%"
,ZОтчет 2/1325/9280,"313,50 руб.","2,00 шт.","627,00 руб.","413,10 руб.","213,90 руб.","51,78%"
85061,"Калькулятор""Citizen SDC-812BN"" 12разр.","371,86 руб.","7,00 шт.","2 603,00 руб.","1 610,55 руб.","992,45 руб.","61,62%"
,ZОтчет 15/1273,"380,00 руб.","1,00 шт.","380,00 руб.","224,39 руб.","155,61 руб.","69,35%"
,ZОтчет 2/1312/9049,"380,00 руб.","2,00 шт.","760,00 руб.","470,52 руб.","289,48 руб.","61,52%"
,ZОтчет 12/1280,"380,00 руб.","2,00 шт.","760,00 руб.","448,78 руб.","311,22 руб.","69,35%"
,ZОтчет 10/964,"380,00 руб.","1,00 шт.","380,00 руб.","233,43 руб.","146,57 руб.","62,79%"
,ZОтчет 11/1343,"323,00 руб.","1,00 шт.","323,00 руб.","233,43 руб.","89,57 руб.","38,37%"
85338,"Калькулятор""Citizen SDC-888XBK"" 12разр.бухгалтерский","814,63 руб.","5,00 шт.","4 073,14 руб.","2 377,64 руб.","1 695,50 руб.","71,31%"
,ZОтчет 15/1274,"850,00 руб.","1,00 шт.","850,00 руб.","485,00 руб.","365,00 руб.","75,26%"
